DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
 21,19411024,   72,     ,
 21,19411025,   23,     ,
 21,19411026,   32,     ,
 21,19411027,   86,     ,
 21,19411028,   89,     ,
 21,19411029,   80,     ,
 21,19411030,  104,     ,
 21,19411031,   29,     ,
 21,19411101,    0,     ,
 21,19411102,    0,     ,
 21,19411103,    0,     ,
 21,19411104,    0,     ,
 21,19411105,   15,     ,
 21,19411106,    5,     ,
 21,19411107,   47,     ,
 21,19411108,   90,     ,
 21,19411109,    4,     ,
 21,19411110,    0,     ,
 21,19411111,  110,     ,
 21,19411112,   36,     ,
 21,19411113,    0,     ,
 21,19411114,    0,     ,
 21,19411115,    2,     ,
 21,19411116,    0,     ,
 21,19411117,   39,     ,
 21,19411118,   31,     ,
 21,19411119,   25,     ,
 21,19411120,   15,     ,
 21,19411121,   45,     ,
 21,19411122,    0,     ,
 21,19411123,    0,     ,
 21,19411124,    0,     ,
 21,19411125,    0,     ,
 21,19411126,   17,     ,
 21,19411127,    0,     ,
 21,19411128,    0,     ,
 21,19411129,    0,     ,
 21,19411130,    0,     ,
 21,19411201,    0,     ,
 21,19411202,    0,     ,
 21,19411203,    5,     ,
 21,19411204,    0,     ,
 21,19411205,    0,     ,
 21,19411206,    3,     ,
 21,19411207,  223,     ,
 21,19411208,   86,     ,
 21,19411209,   26,     ,
 21,19411210,    0,     ,
 21,19411211,   28,     ,
 21,19411212,   15,     ,
 21,19411213,   31,     ,
 21,19411214,   12,     ,
 21,19411215,   78,     ,
 21,19411216,    0,     ,
 21,19411217,    0,     ,
 21,19411218,    9,     ,
 21,19411219,   12,     ,
 21,19411220,    5,     ,
 21,19411221,    0,     ,
 21,19411222,    6,     ,
 21,19411223,    0,     ,
 21,19411224,    0,     ,
 21,19411225,    0,     ,
 21,19411226,    0,     ,
 21,19411227,   23,     ,
 21,19411228,    8,     ,
 21,19411229,    0,     ,
 21,19411230,    7,     ,
 21,19411231,    0,     ,
 21,19420101,   21,     ,
 21,19420102,    3,     ,
 21,19420103,   17,     ,
 21,19420104,   60,     ,
 21,19420105,    0,     ,
 21,19420106,    9,     ,
 21,19420107,    0,     ,
 21,19420108,    0,     ,
 21,19420109,    0,     ,
 21,19420110,    0,     ,
 21,19420111,    0,     ,
 21,19420112,    0,     ,
 21,19420113,    0,     ,
 21,19420114,    0,     ,
 21,19420115,    0,     ,
 21,19420116,    0,     ,
 21,19420117,    0,     ,
 21,19420118,    0,     ,
 21,19420119,    0,     ,
 21,19420120,    0,     ,
 21,19420121,    0,     ,
 21,19420122,    0,     ,
 21,19420123,    0,     ,
 21,19420124,   98,     ,
 21,19420125,   21,     ,
 21,19420126,    0,     ,
 21,19420127,    0,     ,
 21,19420128,    5,     ,
 21,19420129,   71,     ,
 21,19420130,    0,     ,
 21,19420131,    0,     ,
 21,19420201,    0,     ,
 21,19420202,    0,     ,
 21,19420203,    0,     ,
 21,19420204,    0,     ,
 21,19420205,    0,     ,
 21,19420206,    3,     ,
 21,19420207,    0,     ,
 21,19420208,    0,     ,
 21,19420209,    0,     ,
 21,19420210,    0,     ,
 21,19420211,    0,     ,
 21,19420212,    0,     ,
 21,19420213,   85,     ,
 21,19420214,   20,     ,
 21,19420215,    0,     ,
 21,19420216,    0,     ,
 21,19420217,    0,     ,
